language,ethnic_group,ngram,target_df,other_df,target_df_frac,other_df_frac,log_odds_delta,z_score
en,Dong,pop of color,27,39,0.054,0.0195,-0.2119957635431895,-0.8559064634337181
en,Dong,beauty fertility and,26,38,0.052,0.019,-0.22352203905651624,-0.8877427123164658
en,Yi,swirling,43,18,0.086,0.009,1.0040296088404794,3.6269736237794654
en,Yi,pleated,83,56,0.166,0.028,0.5390874101701053,3.1509988417562007
en,Yi,pleating,38,18,0.076,0.009,0.8831358050441844,3.126713912313779
en,Yi,spiral,29,19,0.058,0.0095,0.5652910473370838,1.9364488189819218
en,Yi,red black,40,40,0.08,0.02,0.1503827354990639,0.6793072974830917
en,Yi,red black and,35,35,0.07,0.0175,0.15030573911131384,0.635119563996378
en,Yi,with bold,26,27,0.052,0.0135,0.11308806894195023,0.4157486752105518
en,Yi,with red and,26,28,0.052,0.014,0.07735452495542905,0.2869097076791356
en,Yi,black red,34,38,0.068,0.019,0.04090814365202977,0.17504932904692272
en,Yi,black and white,54,61,0.108,0.0305,0.030473502866962043,0.16474186675995706
en,Yi,features a long,25,31,0.05,0.0155,-0.06119247665546723,-0.23000144672927011
en,Yi,and white accents,25,32,0.05,0.016,-0.09238562568877917,-0.3497180237882911
en,Yi,red and black,42,53,0.084,0.0265,-0.0785829825305111,-0.38431728004361787
en,Yi,cloud,31,42,0.062,0.021,-0.14833522754301143,-0.63306045896718
en,Yi,a long sleeved,30,41,0.06,0.0205,-0.15685969498319885,-0.6597887420410947
en,Yi,lines,54,71,0.108,0.0355,-0.11920584800671019,-0.6670568195194209
en,Yi,and orange,29,41,0.058,0.0205,-0.190158403736171,-0.7920945424381836
en,Yi,clouds,29,42,0.058,0.021,-0.21384110326954797,-0.8952451773053309
en,Yi,voluminous,33,48,0.066,0.024,-0.2182067766315301,-0.975346138363693
en,Yi,lines and,25,38,0.05,0.019,-0.26118951297075377,-1.0254048584464956
en,Yi,red and white,51,73,0.102,0.0365,-0.2028942173079793,-1.123610484549864
en,Yi,white accents,40,59,0.08,0.0295,-0.2321570245719382,-1.1457469126947946
en,Yi,a full,25,40,0.05,0.02,-0.31155242767944547,-1.2357223285503602
en,Yi,and long sleeves,27,43,0.054,0.0215,-0.3070870189106234,-1.264620453566441
en,Yi,and movement,30,48,0.06,0.024,-0.311779174768259,-1.3546134683711966
en,Yi,border,29,47,0.058,0.0235,-0.32435563080400964,-1.3890746359181136
en,Yi,high collar and,26,43,0.052,0.0215,-0.34409618181588897,-1.4008443189247486
en,Yi,with tassels,29,50,0.058,0.025,-0.38512595564919483,-1.6690727098055798
en,Yi,and white with,27,48,0.054,0.024,-0.4150825323763625,-1.7457761511254466
en,Yi,and long,30,53,0.06,0.0265,-0.4091130148096287,-1.811601123014561
en,Yi,dark blue,25,46,0.05,0.023,-0.4487021589169924,-1.8274934854797864
en,Yi,its bold,31,55,0.062,0.0275,-0.4133491971156209,-1.8620813517322643
en,Yi,with red,38,65,0.076,0.0325,-0.37783378646997523,-1.871540352084177
en,Yi,palette of,26,48,0.052,0.024,-0.45204726386534944,-1.8787092440375053
en,Yi,black and,121,179,0.242,0.0895,-0.23750501798559398,-2.0397355397018537
en,Yi,top and,30,56,0.06,0.028,-0.4631711764365969,-2.071822946781495
en,Yi,water,32,59,0.064,0.0295,-0.45118081169236923,-2.0796912804266303
en,Yi,long sleeved,41,72,0.082,0.036,-0.40386521440786005,-2.0882582604206594
en,Yi,in red,36,65,0.072,0.0325,-0.43087595226231024,-2.0984822420107823
en,Yi,floor length,25,49,0.05,0.0245,-0.5106535462201016,-2.1034782977155575
en,Li,thailand,30,7,0.06,0.0035,1.5691438747758877,3.823568180064375
en,Li,from woven,40,23,0.08,0.0115,0.6955427151006726,2.688973102256248
en,Li,made from woven,40,23,0.08,0.0115,0.6955427151006726,2.688973102256248
en,Li,southeast asia possibly,39,23,0.078,0.0115,0.6706897278138992,2.5804827366206124
en,Li,asia possibly,40,25,0.08,0.0125,0.6138539812879209,2.4347525608996055
en,Li,in southeast,55,39,0.11,0.0195,0.4907051474560049,2.3690255650805465
en,Li,indigenous,76,59,0.152,0.0295,0.4024486496867645,2.3433913021471318
en,Li,straw,26,14,0.052,0.007,0.7588594706177014,2.3170801107071792
en,Li,an indigenous,51,36,0.102,0.018,0.49498163360074976,2.2981368032555625
en,Li,from southeast,29,17,0.058,0.0085,0.6759743338875257,2.238696314437228
en,Li,laos,26,15,0.052,0.0075,0.6914013842195317,2.157461230758151
en,Li,from an indigenous,47,34,0.094,0.017,0.47071823294473436,2.1129296417114913
en,Li,from southeast asia,28,17,0.056,0.0085,0.6415641456273189,2.110467714976055
en,Li,in southeast asia,48,35,0.096,0.0175,0.46296717689915035,2.104900664808126
en,Li,bamboo,46,34,0.092,0.017,0.44954858009536114,2.008628716242032
en,Li,southeast asia,87,74,0.174,0.037,0.312741981710257,1.9977030144888965
en,Li,traditional southeast,38,28,0.076,0.014,0.4522545591337721,1.8350475833230984
en,Li,traditional southeast asian,38,28,0.076,0.014,0.4522545591337721,1.8350475833230984
en,Li,asia possibly from,32,23,0.064,0.0115,0.47638708874498104,1.7612904995850165
en,Li,highland ethnic,25,18,0.05,0.009,0.4743552951794596,1.5509916342676968
en,Li,motifs the skirt,25,19,0.05,0.0095,0.4213297107236853,1.3989513471608717
en,Li,group in southeast,32,26,0.064,0.013,0.3560418215784793,1.362432148269907
en,Li,zigzags,33,27,0.066,0.0135,0.3492329480505729,1.3596778008827928
en,Li,short,29,24,0.058,0.012,0.33787121475246007,1.2370161693862072
en,Li,diamonds,30,25,0.06,0.0125,0.3311094911942494,1.2352927667576417
en,Li,possibly from a,32,27,0.064,0.0135,0.31897424082325276,1.2331636311653422
en,Li,cotton or a,34,29,0.068,0.0145,0.3083935903111321,1.2325241861966307
en,Li,loom,40,36,0.08,0.018,0.2557744631994341,1.1246346349898737
en,Li,diamond and,32,28,0.064,0.014,0.28324659009637543,1.1057383081548937
en,Li,derived,28,24,0.056,0.012,0.30338012575748063,1.101801004885314
en,Li,derived from,28,24,0.056,0.012,0.30338012575748063,1.101801004885314
en,Li,tribe,28,24,0.056,0.012,0.30338012575748063,1.101801004885314
en,Li,asia,89,91,0.178,0.0455,0.1309374770510443,0.8870910572965649
en,Li,characteristics the costumes,47,46,0.094,0.023,0.17341908296122277,0.8445592148797341
en,Li,agricultural,27,25,0.054,0.0125,0.22753956981987944,0.828136302505286
en,Li,mix of red,25,23,0.05,0.0115,0.23379741938915455,0.8174416254619125
en,Li,green yellow,29,28,0.058,0.014,0.18644644409638023,0.710840400760939
en,Li,yellows,26,25,0.052,0.0125,0.1904446550108636,0.6867951811056697
en,Li,from natural fibers,41,42,0.082,0.021,0.12843699369881278,0.5909085526666868
en,Li,a woven,27,27,0.054,0.0135,0.15192987298535243,0.5638829700000983
en,Tibetan,tibetan,165,3,0.33,0.0015,3.743647000916003,7.995691265807032
en,Tibetan,wool or,91,13,0.182,0.0065,2.0433153017198444,7.133912099794477
en,Tibetan,fur,136,2,0.272,0.001,3.871738790979667,7.042274998797934
en,Tibetan,warmth,118,46,0.236,0.023,1.0841889999851206,6.3291418628786
en,Tibetan,buddhist,64,6,0.128,0.003,2.4275494401751594,5.985564577395396
en,Tibetan,colorful beads,98,36,0.196,0.018,1.1405135270555302,5.942174784664992
en,Tibetan,wool,234,154,0.468,0.077,0.5762271303272302,5.613480077116841
en,Tibetan,with colorful beads,67,20,0.134,0.01,1.3391831468324273,5.35140096277036
en,Tibetan,in tibetan,113,0,0.226,0.0,4.773728645960213,5.071683045931686
en,Tibetan,colorful beads and,69,25,0.138,0.0125,1.1515897845220016,5.010153600709282
en,Tibetan,wool and,53,2,0.106,0.001,3.2011731371670313,5.003692350639712
en,Tibetan,stones,93,44,0.186,0.022,0.893125021061671,4.944165987899415
en,Tibetan,fur trim,66,1,0.132,0.0005,3.8430457826193916,4.919567997617663
en,Tibetan,such as wool,50,2,0.1,0.001,3.1543888817036683,4.896283096556052
en,Tibetan,as wool,50,2,0.1,0.001,3.1543888817036683,4.896283096556052
en,Tibetan,of tibetan,105,0,0.21,0.0,4.772162842601627,4.888872564420427
en,Tibetan,tibetan culture,103,0,0.206,0.0,4.7717555452768226,4.842113846321315
en,Tibetan,warmth and,76,32,0.152,0.016,1.0058418372431186,4.839781088501006
en,Tibetan,traditional tibetan,101,0,0.202,0.0,4.771341153791288,4.794908129063049
en,Tibetan,tibetan or,43,2,0.086,0.001,3.030934916041706,4.624748131642459
en,Tibetan,the tibetan,88,0,0.176,0.0,4.768441228606572,4.4761856455492754
en,Tibetan,wool or cotton,36,3,0.072,0.0015,2.5291682112673053,4.4599124037298195
en,Tibetan,robe,52,18,0.104,0.009,1.1944854802557634,4.43868528983755
en,Tibetan,precious stones,61,26,0.122,0.013,0.9927997933509536,4.297766496810833
en,Tibetan,and warmth,34,6,0.068,0.003,1.8383524483274405,4.273302419473433
en,Tibetan,coral and,32,4,0.064,0.002,2.1603002244214746,4.238933495206886
en,Tibetan,himalayan,42,1,0.084,0.0005,3.5426866701146187,4.180886400597803
en,Tibetan,object,31,4,0.062,0.002,2.130780256364651,4.168830240543575
en,Tibetan,buddhism,33,2,0.066,0.001,2.8068299461272694,4.1670565936336805
en,Tibetan,in tibetan culture,73,0,0.146,0.0,4.764468101921549,4.078138924372049
en,Tibetan,by tibetan,38,1,0.076,0.0005,3.4703750693914825,4.0333369847400125
en,Tibetan,of the tibetan,70,0,0.14,0.0,4.763557250067511,3.9938436492968195
en,Tibetan,culture characterized by,29,5,0.058,0.0025,1.8595956521257468,3.955803665095405
en,Tibetan,culture characterized,29,5,0.058,0.0025,1.8595956521257468,3.955803665095405
en,Tibetan,cold,36,1,0.072,0.0005,3.4305012853071855,3.955601055735717
en,Tibetan,mongolian,34,1,0.068,0.0005,3.387749824848327,3.87482094093649
en,Tibetan,and coral,27,4,0.054,0.002,2.0016346889443355,3.8658838571746337
en,Tibetan,festivals religious,32,1,0.064,0.0005,3.3417525348637724,3.790623508887883
en,Tibetan,tibetan people,61,0,0.122,0.0,4.760489882364553,3.7296969570207223
en,Tibetan,wheel,61,0,0.122,0.0,4.760489882364553,3.7296969570207223
